,3,1,999919,99919,991999,999919,2,2,2,4,2,2,2,11,2,04,06,2,9,2,3,02,0,3,0,4,1,1,4,2,1,3,04,99999,1,99,  ,04,02,11, ,08,1,1,9999, ,1,04,735152,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,1,2,11,2,05,02,1,1,2,1,01,0,3,0,4,1,1,1,2,1,1,99,00775,1,99,  ,30,03,07, ,07,1,1,0775, ,1,04,905001,015347103,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,1,2,03,3,01,03,2,9,2,4,03,0,3,0,4,1,1,5,2,1,1,99,01400,2,99,  ,80,13,07, ,02,1,1,0350, ,1,04,357587,021716421,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,1,1,1,2,12,2,05,03,1,2,2,2,02,0,3,0,4,2,1,2,2,1,1,99,01200,2,20,  ,21,02,07, ,08,1,1,0600, ,1,04,574611,013861899,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,1,2,09,2,04,05,2,9,2,5,04,0,3,0,4,1,1,2,2,1,3,03,99999,2,99,  ,04,02,11, ,09,1,1,9999, ,1,04,173468,013861899,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,3,2,2,4,2,4,2,08,2,02,04,2,9,2,4,03,0,3,0,4,1,3,1,1,3,2,99,99999,2,99,  ,07,05,05, ,08,1,1,9999, ,1,04,310204,015347103,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,1,2,11,2,04,03,2,9,2,4,03,0,3,0,4,1,1,4,2,1,3,03,99999,1,99,  ,04,02,11, ,09,1,1,9999, ,1,04,831301,021716421,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,1,2,11,2,04,01,2,9,2,4,03,0,3,0,4,1,1,3,2,1,3,04,99999,2,99,  ,04,02,11, ,09,1,1,9999, ,1,04,190322,020690923,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,1,2,11,2,05,05,1,8,1,4,03,0,3,0,4,2,1,1,2,1,1,99,01350,1,99,  ,31,03,07, ,01,1,1,0337, ,1,04,379693,020656948,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,1,2,11,2,05,05,1,8,1,3,02,0,3,0,4,2,1,1,2,1,1,99,01002,1,99,  ,31,03,07, ,01,1,1,0334, ,1,04,365772,020434653,0,0,0,0,0,0
,3,1,999919,19999,199999,999919,2,2,2,2,1,1,2,12,2,05,05,1,2,2,3,02,0,3,0,4,1,1,2,2,1,1,99,00900,1,99,  ,30,02,07, ,08,1,1,0300, ,1,04,526013,017310387,0,0,0,0,0,0
,3,1,999919,99919,991999,199999,3,2,1,4,1,2,2,11,2,04,05,2,9,2,4,03,0,3,0,4,1,1,4,2,1,1,99,00800,1,99,  ,30,02,07, ,09,1,1,0200, ,1,04,554071,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,2,2,13,1,06,08,1,2,2,4,03,0,3,0,4,1,3,6,4,3,1,99,00800,2,15,  ,80,03,07, ,06,1,1,0200, ,1,05,530678,026373283,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,1,2,12,2,05,05,1,1,1,4,03,0,3,0,4,1,3,3,2,3,3,01,99999,2,15,  ,04,03,11, ,05,1,1,9999, ,1,05,423069,024080832,0,0,0,0,0,0
,3,1,999919,99919,119999,191199,2,1,2,4,2,1,2,11,2,03,05,2,9,2,3,02,0,3,0,4,4,1,3,2,1,1,99,00925,1,99,  ,30,02,07, ,08,1,1,0308, ,1,05,218049,021721829,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,5,2,11,2,04,06,2,9,2,5,03,0,3,1,9,1,3,4,2,4,3,03,99999,2,99,  ,04,02,11, ,09,1,4,9999, ,1,05,481887,018187041,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,1,1,1,5,2,13,2,07,07,1,2,2,3,02,0,3,0,4,1,1,1,2,1,1,99,01000,2,17,  ,85,03,07, ,05,1,1,0333, ,1,05,111760,018810394,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,2,2,1,2,12,2,05,06,1,2,2,4,03,0,3,0,4,1,1,4,2,1,1,99,01200,1,99,  ,31,03,07, ,05,1,1,0300, ,1,05,696318,024784940,0,0,0,0,0,0
,3,1,999919,99919,888888,999919,3,2,2,2,2,1,2,12,2,05,04,1,2,2,4,03,0,3,0,4,1,1,2,2,1,1,99,01350,1,99,  ,30,02,07, ,08,1,1,0337, ,1,05,509679,018334935,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,5,2,10,2,03,05,2,9,2,5,04,0,3,0,4,1,1,2,2,1,1,99,01400,1,99,  ,80,02,07, ,09,1,1,0280, ,1,05,101217,019111074,0,0,0,0,0,0
,3,1,999919,99919,991999,999919,2,2,2,4,2,2,2,10,2,03,01,2,9,2,3,02,0,3,0,4,1,1,4,2,1,3,04,99999,2,99,  ,04,02,11, ,09,1,1,9999, ,1,05,047679,012992751,0,0,0,0,0,0
,3,1,199999,99919,919999,999199,2,1,2,2,2,1,2,12,2,05,02,1,2,2,2,02,0,3,0,4,1,1,5,2,1,3,03,99999,1,99,  ,04,03,11, ,07,1,1,9999, ,1,05,231492,019777752,0,0,0,0,0,0
